particip_code,pred_trialN,pred_Cond,pred_Cont,pred_Cat,pred_Obj,pred_predictedValue,pred_acc,pred_rt,rec_trialN,rec_session,rec_trialType,rec_Cond,rec_Cat,rec_Obj,rec_response,rec_acc,rec_rt,rec_respConf,rec_rtConf,rec_respCont
20,238,4,4,FruitsAndVegs,greenolive2,1,1,0.77202547993511,229,2,old,4,FruitsAndVegs,greenolive2,1,1,0.918304268736392,5,9.46144573390484e-05,5
20,239,1,2,HouseObjects,glassmop2,2,0,1.19905526842922,148,1,old,1,HouseObjects,glassmop2,1,1,0.996191054116935,6,0.602322764229029,6
20,240,4,5,Instruments,trumpet,2,1,0.753509948961437,384,2,old,4,Instruments,trumpet,1,1,0.799190037883818,6,3.75365652097389,2
20,241,3,5,HouseObjects,match,2,0,0.644066578708589,301,2,old,3,HouseObjects,match,1,1,2.44622076954693,6,9.81423072516918e-05,6
20,242,1,1,HouseObjects,spraybottle2,3,1,0.822310877963901,14,1,old,1,HouseObjects,spraybottle2,1,1,1.37449930608273,6,9.6538569778204e-05,6
20,243,4,4,FruitsAndVegs,casabamelon,1,1,0.642031891271472,25,1,old,4,FruitsAndVegs,casabamelon,1,1,1.64737871987745,6,2.9280158621259,4
20,244,4,5,Instruments,electricguitar,2,1,0.724036161322147,9,1,old,4,Instruments,electricguitar,1,1,1.26013856008649,6,9.81423072516918e-05,6
20,245,3,5,HouseObjects,thermometer2,2,0,0.534961254801601,268,2,old,3,HouseObjects,thermometer2,1,1,2.68653523502871,3,1.80057076457888,3
20,246,2,6,HouseObjects,towel2,3,1,0.665343884378672,321,2,old,2,HouseObjects,towel2,0,0,1.37738584307954,4,0.000102632213383913,4
20,247,3,4,Instruments,grandpiano,1,0,1.4117462169379,375,2,old,3,Instruments,grandpiano,1,1,0.890699674375355,5,1.31796936644241,2
20,248,4,5,Instruments,trombone,2,1,0.830352449323982,302,2,old,4,Instruments,trombone,1,1,1.23336977837607,6,6.54282048344612e-05,6
20,249,4,5,Instruments,keyboard,2,1,0.488891482818872,185,1,old,4,Instruments,keyboard,1,1,0.59712860127911,6,9.58968885242939e-05,6
20,250,2,5,Instruments,violin2,2,1,0.491683084983379,278,2,old,2,Instruments,violin2,1,1,0.622363028116524,6,5.93340955674648e-05,6
20,251,4,5,Instruments,pipepiano,2,1,0.542084265500307,187,1,old,4,Instruments,pipepiano,1,1,0.548343881499022,6,9.78214666247368e-05,6
20,252,4,6,HouseObjects,scale2,3,1,0.648486187681556,365,2,old,4,HouseObjects,scale2,1,1,1.14403338357806,6,1.10211541457102,3
20,253,4,5,Instruments,trumpet,2,1,0.779066384769976,384,2,old,4,Instruments,trumpet,1,1,0.799190037883818,6,3.75365652097389,2
20,254,2,6,HouseObjects,lintroller,3,1,0.957362320739776,267,2,old,2,HouseObjects,lintroller,1,1,0.937663951423019,4,2.73498447518796,3
20,255,4,4,FruitsAndVegs,cucumber,1,1,0.736415876541287,84,1,old,4,FruitsAndVegs,cucumber,1,1,1.00810379208997,5,1.8770973496139,4
20,256,1,3,HouseObjects,glass2,2,0,1.76308266771957,204,2,old,1,HouseObjects,glass2,1,1,2.76413625339046,4,4.39507069298998,6
20,257,1,2,FruitsAndVegs,cabbage,3,0,1.30142694385722,150,1,old,1,FruitsAndVegs,cabbage,1,1,0.97678999742493,6,3.30455819470808,2
20,258,4,5,Instruments,keyboard,2,1,0.559844807256013,185,1,old,4,Instruments,keyboard,1,1,0.59712860127911,6,9.58968885242939e-05,6
20,259,3,4,HouseObjects,pitcher2,1,0,0.714059327263385,336,2,old,3,HouseObjects,pitcher2,0,0,0.815783135127276,6,3.38161750650033,5
20,260,4,5,Instruments,frenchhorn2,2,1,1.35669097676873,122,1,old,4,Instruments,frenchhorn2,1,1,0.577868664637208,6,9.7180251032114e-05,6
20,261,4,5,Instruments,frenchhorn2,2,1,0.455507079605013,122,1,old,4,Instruments,frenchhorn2,1,1,0.577868664637208,6,9.7180251032114e-05,6
20,262,4,6,HouseObjects,rug2,3,1,0.986653936095536,326,2,old,4,HouseObjects,rug2,1,1,0.660277049522847,5,4.74584042001516,3
20,263,3,5,FruitsAndVegs,cherry,2,0,0.621388020459563,383,2,old,3,FruitsAndVegs,cherry,0,0,1.07184237707406,6,9.62177291512489e-05,6
20,264,4,4,FruitsAndVegs,greenolive2,1,1,0.77542068855837,229,2,old,4,FruitsAndVegs,greenolive2,1,1,0.918304268736392,5,9.46144573390484e-05,5
20,265,1,3,HouseObjects,knife,2,0,1.20185104012489,202,2,old,1,HouseObjects,knife,0,0,2.20090938732028,5,1.17215146124363,5
20,266,4,4,FruitsAndVegs,peanut2,1,1,1.06045787548646,324,2,old,4,FruitsAndVegs,peanut2,1,1,0.849056567531079,6,1.38550310535356,1
20,267,3,5,HouseObjects,thread,2,0,0.638714618980885,300,2,old,3,HouseObjects,thread,0,0,0.721980305854231,5,9.49352979660034e-05,5
20,268,4,6,HouseObjects,handbrush2,3,1,0.706075807567686,232,2,old,4,HouseObjects,handbrush2,1,1,0.802264841273427,6,9.42936167120934e-05,6
20,269,4,4,FruitsAndVegs,casabamelon2,1,1,1.30110557610169,52,1,old,4,FruitsAndVegs,casabamelon2,1,1,1.15126896975562,5,3.07898559374735,4
20,270,2,6,HouseObjects,vacuumcleaner2,3,1,0.719469018280506,176,1,old,2,HouseObjects,vacuumcleaner2,0,0,2.26669581001624,6,0.000103273894637823,6
20,271,3,6,Instruments,tuba,3,0,0.56188045674935,343,2,old,3,Instruments,tuba,1,1,0.606928715016693,6,1.04804223868996,2
20,272,4,4,FruitsAndVegs,peanut2,1,1,1.02814469719306,324,2,old,4,FruitsAndVegs,peanut2,1,1,0.849056567531079,6,1.38550310535356,1
20,273,4,5,Instruments,frenchhorn2,2,1,0.478901499416679,122,1,old,4,Instruments,frenchhorn2,1,1,0.577868664637208,6,9.7180251032114e-05,6
20,274,4,6,HouseObjects,flyswatter,3,1,0.60115852765739,74,1,old,4,HouseObjects,flyswatter,1,1,1.09065939066932,6,9.6859410405159e-05,6
