"scene_cat","object_cat","response","acc","pe_level","trialN","Q1","befQ1","P1","variance1","Q2","befQ2","P2","variance2","Q3","befQ3","P3","variance3","Prob","Delta","x1","x2","x3","Delta1","Delta2","Delta3","SubNum"
5,3,2,0,3,27,0.00410791282746573,0.0116832525064641,0.154602989202601,0.0174858223062382,0.346856614441693,0.986489631173501,0.69313423917091,0.0174858223062382,0.64901657782484,0.00177337760473991,0.152262771626489,0.0174858223062382,0.69313423917091,NA,0,0,1,-0.0116832525064641,-0.986489631173501,0.99822662239526,28
6,3,3,1,1,28,0.00123466246885282,0.00351148478307922,0.176720737115815,0.0174858223062382,0.0801687088680455,0.2280066077742,0.249660024645091,0.0174858223062382,0.91859633987815,0.768481086113823,0.573619238239094,0.0174858223062382,0.573619238239094,NA,0,0,1,-0.00351148478307922,-0.2280066077742,0.231518913886177,28
5,2,1,0,1,29,0.00144437071686339,0.00410791282746573,0.185425277879165,0.0174858223062382,0.770350243630797,0.346856614441693,0.314250402047846,0.0174858223062382,0.228198742071994,0.64901657782484,0.50032432007299,0.0174858223062382,0.185425277879165,NA,0,1,0,-0.00410791282746573,0.653143385558307,-0.64901657782484,28
4,1,1,1,1,30,0.761954113931381,0.322977309433215,0.304305850235073,0.0174858223062382,0.00998696056036576,0.0284037629081905,0.193377345098311,0.0174858223062382,0.228056589579203,0.648612284078248,0.502316804666616,0.0174858223062382,0.304305850235073,NA,1,0,0,0.677022690566785,-0.0284037629081905,-0.648612284078248,28
3,3,2,0,2,31,0.0407970585503653,0.116030294844151,0.212189771583693,0.0666666666666667,0.268776562470927,0.764423340770967,0.575620456832614,0.0666666666666667,0.689190104477181,0.116030294844151,0.212189771583693,0.0666666666666667,0.575620456832614,NA,0,0,1,-0.116030294844151,-0.764423340770967,0.883969705155849,28
5,2,3,0,1,32,0.000507850788308837,0.00144437071686339,0.175954375154959,0.0174858223062382,0.919253548659376,0.770350243630797,0.574602386174277,0.0174858223062382,0.0802362646232658,0.228198742071994,0.249443238670764,0.0174858223062382,0.249443238670764,NA,0,1,0,-0.00144437071686339,0.229649756369203,-0.228198742071994,28
5,2,1,0,1,33,0.000178563868800936,0.000507850788308837,0.160172912603297,0.0174858223062382,0.971608986191905,0.919253548659376,0.658741984229279,0.0174858223062382,0.0282116286103965,0.0802362646232658,0.181085103167424,0.0174858223062382,0.160172912603297,NA,0,1,0,-0.000507850788308837,0.0807464513406244,-0.0802362646232658,28
3,1,2,0,2,34,0.662737575418855,0.0407970585503653,0.194814168813002,0.0666666666666667,0.0945037084566635,0.268776562470927,0.276701258096368,0.0666666666666667,0.242324033412601,0.689190104477181,0.52848457309063,0.0666666666666667,0.276701258096368,NA,1,0,0,0.959202941449635,-0.268776562470927,-0.689190104477181,28
5,2,1,0,1,35,6.27842980166206e-05,0.000178563868800936,0.1537474445571,0.0174858223062382,0.990017522111886,0.971608986191905,0.685726207746648,0.0174858223062382,0.00991940480514539,0.0282116286103965,0.160526347696253,0.0174858223062382,0.1537474445571,NA,0,1,0,-0.000178563868800936,0.0283910138080955,-0.0282116286103965,28
5,2,2,1,1,36,2.2075395789247e-05,6.27842980166206e-05,0.151415075368583,0.0174858223062382,0.996490091355657,0.990017522111886,0.694855261552269,0.0174858223062382,0.00348773170975608,0.00991940480514539,0.153729663079148,0.0174858223062382,0.694855261552269,NA,0,1,0,-6.27842980166206e-05,0.00998247788811413,-0.00991940480514539,28
6,3,3,1,1,37,0.000434115909981818,0.00123466246885282,0.160433300060084,0.0174858223062382,0.0281878755370733,0.0801687088680455,0.181157860083584,0.0174858223062382,0.971377907014148,0.91859633987815,0.658408839856332,0.0174858223062382,0.658408839856332,NA,0,0,1,-0.00123466246885282,-0.0801687088680455,0.0814036601218504,28
2,1,3,0,2,38,0.890717079339417,0.689190104477181,0.52848457309063,0.0666666666666667,0.0143445294920393,0.0407970585503653,0.194814168813002,0.0666666666666667,0.0945037084566635,0.268776562470927,0.276701258096368,0.0666666666666667,0.276701258096368,NA,1,0,0,0.310809895522819,-0.0407970585503653,-0.268776562470927,28
6,3,2,0,1,39,0.000152638172823415,0.000434115909981818,0.153837040158549,0.0174858223062382,0.00991105305938437,0.0281878755370733,0.160550859690079,0.0174858223062382,0.989936273066045,0.971377907014148,0.685612100151372,0.0174858223062382,0.160550859690079,NA,0,0,1,-0.000434115909981818,-0.0281878755370733,0.0286220929858525,28
6,1,3,0,3,40,0.648446714569838,0.000152638172823415,0.151446303863043,0.0174858223062382,0.00348479517786785,0.00991105305938437,0.153738129335722,0.0174858223062382,0.348068477699312,0.989936273066045,0.694815566801236,0.0174858223062382,0.694815566801236,NA,1,0,0,0.999847361827177,-0.00991105305938437,-0.989936273066045,28
1,3,2,0,2,41,0.0143445294920393,0.0407970585503653,0.194814168813002,0.0666666666666667,0.242324033412601,0.689190104477181,0.52848457309063,0.0666666666666667,0.74289675438348,0.268776562470927,0.276701258096368,0.0666666666666667,0.52848457309063,NA,0,0,1,-0.0407970585503653,-0.689190104477181,0.731223437529073,28
