"scene_cat","object_cat","response","acc","pe_level","trialN","Q1","P1","Q2","P2","Q3","P3","Prob","Delta","x1","x2","x3","Delta1","Delta2","Delta3","SubNum"
6,1,3,0,3,17,0.188632113745171,0.131659927277194,0.188632113745171,0.131659927277194,0.486531333217909,0.736680145445612,0.736680145445612,NA,0,0,0,-0.216940286047463,-0.216940286047463,-0.559545479843029,1
6,3,2,0,1,18,0.164017827136941,0.154575398974061,0.164017827136941,0.154575398974061,0.423044679530253,0.690849202051879,0.154575398974061,NA,0,0,0,-0.188632113745171,-0.188632113745171,-0.486531333217909,1
6,3,3,1,1,19,0.142615417304107,0.176175605205198,0.142615417304107,0.176175605205198,0.498330606916779,0.647648789589604,0.647648789589604,NA,0,0,1,-0.164017827136941,-0.164017827136941,0.576955320469747,1
6,3,3,1,1,20,0.12400577185944,0.125369475802664,0.12400577185944,0.125369475802664,0.56379260052307,0.749261048394672,0.749261048394672,NA,0,0,1,-0.142615417304107,-0.142615417304107,0.501669393083221,1
6,2,3,0,3,21,0.107824467684761,0.0899357293825304,0.107824467684761,0.0899357293825304,0.490224254278369,0.820128541234939,0.820128541234939,NA,0,0,0,-0.12400577185944,-0.12400577185944,-0.56379260052307,1
6,3,2,0,1,22,0.0937546346203977,0.113196488113043,0.0937546346203977,0.113196488113043,0.426255717545462,0.773607023773914,0.113196488113043,NA,0,0,0,-0.107824467684761,-0.107824467684761,-0.490224254278369,1
5,2,1,0,1,23,0.23860657443461,0.344625094881498,0.277478941514035,0.431448902715706,0.164017827136941,0.223926002402796,0.344625094881498,NA,0,0,0,-0.274414454055147,-0.319120428377975,-0.188632113745171,1
4,1,1,1,1,24,0.386564846314005,0.490672645763481,0.142615417304107,0.254663677118259,0.142615417304107,0.254663677118259,0.490672645763481,NA,1,0,0,0.705493858230255,-0.164017827136941,-0.164017827136941,1
2,1,2,0,2,25,0.249496688426734,0.333333333333333,0.249496688426734,0.333333333333333,0.249496688426734,0.333333333333333,0.333333333333333,NA,0,0,0,-0.286938856171175,-0.286938856171175,-0.286938856171175,1
4,3,3,1,3,26,0.336122651022202,0.63016881278266,0.12400577185944,0.18491559360867,0.254494086492244,0.18491559360867,0.18491559360867,NA,0,0,1,-0.386564846314005,-0.142615417304107,0.857384582695893,1
5,3,2,0,3,27,0.207471204676331,0.344455397807543,0.241271182089774,0.418776297455417,0.142615417304107,0.23676830473704,0.418776297455417,NA,0,0,0,-0.23860657443461,-0.277478941514035,-0.164017827136941,1
6,3,3,1,1,28,0.0815207503597677,0.136644291002871,0.0815207503597677,0.136644291002871,0.501122641993162,0.726711417994258,0.726711417994258,NA,0,0,1,-0.0937546346203977,-0.0937546346203977,0.573744282454538,1
5,2,1,0,1,29,0.180398636843279,0.343998262671298,0.209788112169415,0.40769325974828,0.12400577185944,0.248308477580422,0.343998262671298,NA,0,0,0,-0.207471204676331,-0.241271182089774,-0.142615417304107,1
4,1,1,1,1,30,0.422750887413208,0.49805158058216,0.107824467684761,0.171503824902047,0.221285582061856,0.330444594515793,0.49805158058216,NA,1,0,0,0.663877348977798,-0.12400577185944,-0.254494086492244,1
3,3,2,0,2,31,0.249496688426734,0.333333333333333,0.249496688426734,0.333333333333333,0.249496688426734,0.333333333333333,0.333333333333333,NA,0,0,0,-0.286938856171175,-0.286938856171175,-0.286938856171175,1
5,2,1,0,1,32,0.156858722759544,0.343362503385817,0.182413214982431,0.398018332308763,0.107824467684761,0.25861916430542,0.343362503385817,NA,0,0,0,-0.180398636843279,-0.209788112169415,-0.12400577185944,1
5,2,2,1,1,33,0.136390492391197,0.342627311475453,0.289098736625426,0.389584199581345,0.0937546346203977,0.267788488943202,0.389584199581345,NA,0,1,0,-0.156858722759544,0.817586785017569,-0.107824467684761,1
3,1,3,0,2,34,0.216940286047463,0.333333333333333,0.216940286047463,0.333333333333333,0.216940286047463,0.333333333333333,0.333333333333333,NA,0,0,0,-0.249496688426734,-0.249496688426734,-0.249496688426734,1
5,2,2,1,1,35,0.118593126907131,0.252428818864935,0.381863044353505,0.543831775273516,0.0815207503597677,0.203739405861549,0.543831775273516,NA,0,1,0,-0.136390492391197,0.710901263374574,-0.0937546346203977,1
5,2,2,1,1,36,0.103118109649986,0.179038325624917,0.462522693908069,0.672359262156234,0.07088324503772,0.148602412218849,0.672359262156234,NA,0,1,0,-0.118593126907131,0.618136955646495,-0.0815207503597677,1
6,3,3,1,1,37,0.07088324503772,0.097662844836182,0.07088324503772,0.097662844836182,0.56622030764794,0.804674310327636,0.804674310327636,NA,0,0,1,-0.0815207503597677,-0.0815207503597677,0.498877358006838,1
2,1,2,0,2,38,0.216940286047463,0.333333333333333,0.216940286047463,0.333333333333333,0.216940286047463,0.333333333333333,0.333333333333333,NA,0,0,0,-0.249496688426734,-0.249496688426734,-0.249496688426734,1
6,3,3,1,1,39,0.0616338098570439,0.0711440901785892,0.0616338098570439,0.0711440901785892,0.622823488624897,0.857711819642822,0.857711819642822,NA,0,0,1,-0.07088324503772,-0.07088324503772,0.43377969235206,1
6,1,3,0,3,40,0.0535913178843995,0.0532315799554498,0.0535913178843995,0.0532315799554498,0.54155230128051,0.8935368400891,0.8935368400891,NA,0,0,0,-0.0616338098570439,-0.0616338098570439,-0.622823488624897,1
1,3,1,0,2,41,0.216940286047463,0.333333333333333,0.216940286047463,0.333333333333333,0.216940286047463,0.333333333333333,0.333333333333333,NA,0,0,0,-0.249496688426734,-0.249496688426734,-0.249496688426734,1
