"","PE_level","trialN","id_acc","trial_acc","session","SubNum","PEchoice","PEobs"
"3312","0.9",192,1,0,"ImmediateRec",12,-0.829372756335598,0.853935690624106
"3313","0.5",193,1,0,"DelayedRec",12,-0.152171733652544,0.665180681074381
"3314","0.5",194,1,0,"DelayedRec",12,-0.259469150909878,0.700250208441375
"3315","0.1",195,0,1,"DelayedRec",12,0.718637695359302,0.324390420176076
"3316","0.1",196,1,1,"DelayedRec",12,0.0859567241005659,0.28684983672602
"3317","0.5",197,1,0,"ImmediateRec",12,-0.047899025668012,0.675417130062505
"3318","0.1",198,0,1,"ImmediateRec",12,0.490995396481487,0.316510622098496
"3319","0.9",199,1,0,"ImmediateRec",12,-0.664536830000992,0.806519261145576
"3323","0.1",203,1,1,"ImmediateRec",12,0.321997570333075,0.302455025710955
"3324","0.5",204,1,0,"ImmediateRec",12,-0.177277311569377,0.683240365045549
"3325","0.9",205,0,0,"ImmediateRec",12,-0.780001347365006,0.899664150849147
"3329","0.1",209,0,1,"ImmediateRec",12,0.319122797721129,0.304646234263194
"3330","0.1",210,1,1,"ImmediateRec",12,0.433347000919092,0.28981992404286
"3331","0.9",211,1,0,"DelayedRec",12,-0.972585386040096,0.88012097151019
"3336","0.5",216,1,1,"ImmediateRec",12,0.878878683315298,0.671256036376608
"3337","0.5",217,1,0,"DelayedRec",12,-1.64917607044165e-05,0.701117977903941
"3340","0.5",220,0,0,"DelayedRec",12,-0.399523027583782,0.675715835697043
"3344","0.1",224,1,1,"ImmediateRec",12,0.254871861816925,0.264052094375283
"3345","0.1",225,1,1,"DelayedRec",12,0.138209556787902,0.26920867228541
"3346","0.1",226,1,1,"ImmediateRec",12,0.0944290239307277,0.26266929921394
"3348","0.1",228,0,1,"DelayedRec",12,0.0475110865305531,0.26939973276109
"3350","0.5",230,1,1,"DelayedRec",12,0.896031587014581,0.660360973292703
"3352","0.1",232,0,1,"DelayedRec",12,0.0440798748970106,0.250063240037822
"3353","0.9",233,0,0,"DelayedRec",12,-0.969883272486714,0.897873329498805
