"","PE_level","trialN","id_acc","trial_acc","session","SubNum","PEchoice","PEobs","setup"
"49","0.5",49,1,0,"ImmediateRec",1,-0.0937546346203977,0.676755902425837,"pilot"
"51","0.5",51,0,1,"ImmediateRec",1,0.938366190142956,0.680337486906689,"pilot"
"52","0.5",52,1,0,"ImmediateRec",1,-0.184079632517203,0.679782686307052,"pilot"
"54","0.5",54,1,1,"ImmediateRec",1,0.839940608488192,0.664230398487668,"pilot"
"57","0.1",57,1,1,"ImmediateRec",1,0.516626756534159,0.259814647467035,"pilot"
"59","0.1",59,0,1,"DelayedRec",1,0.361964499988169,0.314901655054698,"pilot"
"62","0.1",62,0,0,"ImmediateRec",1,-0.0316256300016934,0.23486311584566,"pilot"
"64","0.5",64,0,0,"DelayedRec",1,-0.0815207503597677,0.676966704421933,"pilot"
"66","0.5",66,0,0,"ImmediateRec",1,-0.269661825905084,0.709430185183203,"pilot"
"67","0.9",67,0,0,"ImmediateRec",1,-0.762046417677393,0.843122224905658,"pilot"
"70","0.9",70,0,0,"DelayedRec",1,-0.644568483555126,0.87770192044126,"pilot"
"71","0.5",71,0,0,"ImmediateRec",1,-0.0815207503597677,0.726196433935445,"pilot"
"75","0.1",75,1,1,"DelayedRec",1,0.241305290207989,0.315021281884875,"pilot"
"77","0.5",77,0,1,"DelayedRec",1,0.823689634903658,0.690445979919126,"pilot"
"78","0.1",78,0,1,"DelayedRec",1,0.382185315333119,0.229276714912964,"pilot"
"82","0.9",82,0,0,"DelayedRec",1,-0.711048574118364,0.936189164306469,"pilot"
"83","0.9",83,0,0,"DelayedRec",1,-0.790182230423231,0.833845189303527,"pilot"
"84","0.1",84,0,1,"DelayedRec",1,0.3817349559404,0.246284399035142,"pilot"
"85","0.1",85,0,1,"ImmediateRec",1,0.312927317077486,0.333997661354473,"pilot"
"86","0.5",86,1,0,"ImmediateRec",1,-0.100086441407079,0.649670168684717,"pilot"
"89","0.9",89,0,0,"DelayedRec",1,-0.807142678362921,0.83788992362502,"pilot"
"91","0.9",91,0,0,"DelayedRec",1,-0.683139775731128,0.889484957196015,"pilot"
"92","0.9",92,1,0,"ImmediateRec",1,-0.593998017737341,0.914616805527121,"pilot"
"95","0.5",95,0,1,"ImmediateRec",1,0.92911675496228,0.659675432135499,"pilot"
"96","0.9",96,0,0,"ImmediateRec",1,-0.740728997479571,0.92129931670363,"pilot"
"97","0.5",97,0,0,"DelayedRec",1,-0.0870263303502745,0.61768708200737,"pilot"
"99","0.5",99,0,0,"DelayedRec",1,-0.192122124489848,0.717073290408203,"pilot"
"107","0.5",107,0,0,"ImmediateRec",1,-0.28379223733543,0.671318891801025,"pilot"
"108","0.5",108,0,0,"ImmediateRec",1,-0.167052432261494,0.681771966280043,"pilot"
"109","0.5",109,1,0,"DelayedRec",1,-0.0535913178843995,0.63827004434035,"pilot"
"110","0.1",110,0,1,"DelayedRec",1,0.203452585094691,0.252521181835301,"pilot"
"113","0.9",113,0,0,"ImmediateRec",1,-0.823095599842003,0.903618043312712,"pilot"
"116","0.1",116,0,1,"ImmediateRec",1,0.203372623613301,0.234570060299287,"pilot"
"121","0.5",121,1,0,"ImmediateRec",1,-0.0465982771347134,0.693721893290774,"pilot"
"122","0.9",122,0,0,"ImmediateRec",1,-0.846240011793409,0.920390230879542,"pilot"
"123","0.1",123,0,1,"DelayedRec",1,0.264184421120357,0.250833829299623,"pilot"
"124","0.5",124,0,1,"DelayedRec",1,0.973363843900593,0.705764319577329,"pilot"
"125","0.1",125,0,1,"DelayedRec",1,0.186903100711868,0.238500600474667,"pilot"
"127","0.9",127,0,0,"DelayedRec",1,-0.837485569899669,0.889038867006293,"pilot"
"128","0.1",128,0,1,"ImmediateRec",1,0.199736782434735,0.226744778568662,"pilot"
"129","0.1",129,0,1,"ImmediateRec",1,0.317858134549172,0.238896188380305,"pilot"
"130","0.1",130,0,1,"ImmediateRec",1,0.173673466324648,0.215582194451125,"pilot"
"131","0.5",131,0,0,"ImmediateRec",1,-0.0465982771347134,0.689448112779514,"pilot"
"133","0.1",133,0,1,"ImmediateRec",1,0.236330242048581,0.251788413733062,"pilot"
"135","0.5",135,0,1,"DelayedRec",1,0.959482253513388,0.665527116353757,"pilot"
"137","0.5",137,0,0,"ImmediateRec",1,-0.165718968667659,0.676329421455608,"pilot"
"138","0.5",138,0,1,"DelayedRec",1,0.959482253513388,0.626202940324277,"pilot"
"141","0.5",141,1,0,"ImmediateRec",1,-0.165718968667659,0.672466077271203,"pilot"
"143","0.5",143,0,0,"ImmediateRec",1,-0.141051473109358,0.749583745930263,"pilot"
"145","0.5",145,0,0,"DelayedRec",1,-0.0266361560994069,0.657114926703798,"pilot"
"147","0.9",147,0,0,"ImmediateRec",1,-0.66055339860474,0.903669703289721,"pilot"
"149","0.5",149,0,0,"ImmediateRec",1,-0.153648763614503,0.725215680883502,"pilot"
"151","0.9",151,1,0,"ImmediateRec",1,-0.913680167945729,0.916586206202351,"pilot"
"153","0.5",153,0,1,"DelayedRec",1,0.85590542025647,0.65084235509288,"pilot"
"154","0.1",154,1,0,"ImmediateRec",1,-0.0016781202023828,0.244444014349543,"pilot"
"156","0.5",156,0,1,"DelayedRec",1,0.891057210708326,0.652240227253755,"pilot"
"158","0.1",158,0,1,"ImmediateRec",1,0.135089312422824,0.205749181057048,"pilot"
"162","0.5",162,0,0,"DelayedRec",1,-0.225215342958411,0.643238037586012,"pilot"
"164","0.5",164,1,1,"ImmediateRec",1,0.804172627573681,0.638831484249587,"pilot"
"165","0.5",165,0,0,"ImmediateRec",1,-0.255780235517878,0.660607251180418,"pilot"
"166","0.5",166,0,0,"DelayedRec",1,-0.300762503272242,0.765217729869452,"pilot"
"169","0.9",169,0,0,"ImmediateRec",1,-0.621529986041319,0.878972499816597,"pilot"
"171","0.5",171,0,1,"DelayedRec",1,0.777596096331231,0.637567857989644,"pilot"
"173","0.5",173,0,0,"ImmediateRec",1,-0.323871107744079,0.751067903700913,"pilot"
"176","0.9",176,0,0,"DelayedRec",1,-0.89783954938523,0.900136585135536,"pilot"
"177","0.5",177,0,1,"ImmediateRec",1,0.738483488884496,0.6267104618506,"pilot"
"179","0.1",179,0,1,"ImmediateRec",1,0.0583812686803207,0.15198183209239,"pilot"
"180","0.9",180,0,0,"DelayedRec",1,-0.949236804675899,0.94028357168378,"pilot"
"181","0.5",181,0,0,"ImmediateRec",1,-0.357879976964195,0.740959091539897,"pilot"
"182","0.5",182,0,0,"DelayedRec",1,NA,0.689513509074649,"pilot"
"183","0.5",183,0,0,"DelayedRec",1,-0.281609712736295,0.663802853369793,"pilot"
"185","0.9",185,0,0,"DelayedRec",1,-0.780681979775275,0.855823104524096,"pilot"
"186","0.1",186,1,0,"ImmediateRec",1,-0.000630595730210298,0.213986686404364,"pilot"
"187","0.9",187,0,0,"ImmediateRec",1,-0.678812103970199,0.81369116457696,"pilot"
"188","0.9",188,0,0,"ImmediateRec",1,-0.825372493846313,0.919730159454897,"pilot"
"192","0.9",192,0,0,"ImmediateRec",1,-0.715742635498848,0.892096319353786,"pilot"
"193","0.5",193,0,1,"DelayedRec",1,0.950254664710734,0.655568945526991,"pilot"
"194","0.5",194,0,0,"DelayedRec",1,-0.244862935937107,0.728168156559839,"pilot"
"195","0.1",195,0,1,"DelayedRec",1,0.40976494342922,0.279744026588199,"pilot"
"196","0.1",196,0,1,"DelayedRec",1,0.393185635645595,0.203452179713185,"pilot"
"197","0.5",197,1,0,"ImmediateRec",1,-0.311180821929311,0.682595305317313,"pilot"
"198","0.1",198,0,1,"ImmediateRec",1,0.356295406565535,0.265972303826241,"pilot"
"199","0.9",199,0,0,"ImmediateRec",1,-0.690196980548611,0.795372690171077,"pilot"
"203","0.1",203,1,1,"ImmediateRec",1,0.262869608200133,0.248951086245474,"pilot"
"204","0.5",204,0,0,"ImmediateRec",1,-0.212911184110634,0.692320635172045,"pilot"
"205","0.9",205,0,0,"ImmediateRec",1,-0.771431803942088,0.962763405748611,"pilot"
"209","0.1",209,0,1,"ImmediateRec",1,0.286270229516856,0.260770211211662,"pilot"
"210","0.1",210,0,1,"ImmediateRec",1,0.377653414718238,0.234444000166485,"pilot"
"211","0.9",211,0,1,"DelayedRec",1,0.999639543619672,0.9408691841515,"pilot"
"216","0.5",216,0,0,"ImmediateRec",1,-0.0358824802731473,0.678190012492693,"pilot"
"217","0.5",217,1,0,"DelayedRec",1,-0.270575360929704,0.71903015319944,"pilot"
"220","0.5",220,0,0,"DelayedRec",1,-0.160971622317023,0.682965037828767,"pilot"
"224","0.1",224,1,1,"ImmediateRec",1,0.233531698589601,0.185197691046029,"pilot"
"225","0.1",225,0,1,"DelayedRec",1,0.248267393381139,0.201495755867196,"pilot"
"226","0.1",226,1,1,"ImmediateRec",1,0.215871399640555,0.191576174307733,"pilot"
"228","0.1",228,0,1,"DelayedRec",1,0.142283093998024,0.202598369381644,"pilot"
"230","0.5",230,0,0,"DelayedRec",1,-0.17374246495933,0.662744180787701,"pilot"
"232","0.1",232,0,1,"DelayedRec",1,0.163209694958674,0.173177985376726,"pilot"
"233","0.9",233,0,0,"DelayedRec",1,-0.858087263068218,0.942158581243354,"pilot"
"234","0.1",234,0,1,"DelayedRec",1,0.203058540827308,0.176080458809306,"pilot"
"235","0.1",235,0,1,"ImmediateRec",1,0.176561774062956,0.167412065449508,"pilot"
"236","0.5",236,0,0,"ImmediateRec",1,-0.235268438100824,0.683632493245372,"pilot"
"239","0.5",239,1,1,"ImmediateRec",1,0.860033293382833,0.662289158696197,"pilot"
"241","0.9",241,0,0,"DelayedRec",1,-0.883929206756772,0.926743760370325,"pilot"
"242","0.5",242,1,0,"ImmediateRec",1,-0.204568656126756,0.649977450516254,"pilot"
"245","0.9",245,0,0,"DelayedRec",1,-0.798783496116089,0.886972825497792,"pilot"
"246","0.1",246,0,1,"DelayedRec",1,0.0935361670049983,0.174125640012227,"pilot"
"247","0.9",247,0,0,"DelayedRec",1,-0.808051539021123,0.905785578567108,"pilot"
"250","0.1",250,0,1,"DelayedRec",1,0.230934449361565,0.196517088012707,"pilot"
"254","0.1",254,0,1,"DelayedRec",1,0.0707180724723545,0.157403328721411,"pilot"
"256","0.5",256,0,0,"DelayedRec",1,-0.151071103526638,0.731173410600417,"pilot"
"257","0.5",257,0,0,"ImmediateRec",1,-0.252191001598793,0.706268374802793,"pilot"
"259","0.9",259,0,0,"DelayedRec",1,-0.741416142099154,0.917160027893936,"pilot"
"263","0.9",263,0,0,"DelayedRec",1,-0.814415196460953,0.959590729517039,"pilot"
"265","0.5",265,0,0,"DelayedRec",1,-0.131358089837729,0.695177941369086,"pilot"
"267","0.9",267,0,0,"DelayedRec",1,-0.708143530063419,0.900521587516705,"pilot"
"270","0.1",270,0,1,"ImmediateRec",1,0.176978008180919,0.135282210993718,"pilot"
"271","0.9",271,1,0,"DelayedRec",1,-0.84611555383368,0.960310599329129,"pilot"
"275","0.5",275,0,0,"DelayedRec",1,-0.177874836962078,0.698321310744308,"pilot"
"276","0.5",276,1,0,"DelayedRec",1,-0.11421739408142,0.665639463588646,"pilot"
"278","0.9",278,0,0,"ImmediateRec",1,-0.800181399548948,0.921386551942886,"pilot"
"279","0.1",279,0,1,"DelayedRec",1,0.203111057920651,0.207232839574288,"pilot"
"281","0.1",281,0,1,"DelayedRec",1,0.1766074382893,0.197030822935729,"pilot"
"282","0.9",282,0,0,"DelayedRec",1,-0.709479307720864,0.924668428312887,"pilot"
"287","0.5",287,0,1,"DelayedRec",1,0.900686641174016,0.692175471051081,"pilot"
"288","0.9",288,0,0,"DelayedRec",1,-0.883899187331544,0.916215405057725,"pilot"
"290","0.9",290,0,0,"DelayedRec",1,-0.710357441015112,0.888270048573074,"pilot"
"291","0.5",291,0,0,"ImmediateRec",1,-0.020510873031343,0.683018525841801,"pilot"
"293","0.1",293,0,1,"DelayedRec",1,0.201239200087495,0.199883937195346,"pilot"
"297","0.9",297,0,0,"ImmediateRec",1,-0.617664095750178,0.896131631218644,"pilot"
"298","0.1",298,0,1,"DelayedRec",1,0.462933851113457,0.295869285672068,"pilot"
"300","0.9",300,0,0,"ImmediateRec",1,-0.826096668861343,0.898695277752007,"pilot"
"301","0.9",301,0,0,"DelayedRec",1,-0.825020163969976,0.883488399320008,"pilot"
"302","0.1",302,0,1,"ImmediateRec",1,0.350001402464976,0.267455214682568,"pilot"
"303","0.1",303,0,0,"DelayedRec",1,-3.21203895107145e-07,0.254288466806767,"pilot"
"304","0.5",304,0,0,"ImmediateRec",1,-0.216842440645063,0.693515054771704,"pilot"
"305","0.5",305,0,0,"DelayedRec",1,-0.190669150757333,0.687670990414635,"pilot"
"307","0.5",307,0,0,"ImmediateRec",1,-0.04365237482592,0.674931511256286,"pilot"
"309","0.5",309,0,0,"DelayedRec",1,-0.163943851064587,0.676142446858374,"pilot"
"310","0.1",310,0,1,"DelayedRec",1,0.244940827181557,0.192062725169929,"pilot"
"311","0.1",311,1,1,"ImmediateRec",1,0.245754719319349,0.218598851402568,"pilot"
"314","0.5",2,0,0,"ImmediateRec",2,-0.277821132534418,0.424024490346856,"pilot"
"315","0.1",3,0,0,"DelayedRec",2,-0.103498020655908,0.0102920601171068,"pilot"
"317","0.1",5,0,0,"ImmediateRec",2,-0.0747941193901791,0.00543610867030042,"pilot"
"319","0.5",7,1,0,"DelayedRec",2,-0.277821132534418,0.924959209342084,"pilot"
"320","0.9",8,0,0,"DelayedRec",2,-0.385681851455412,0.99796114260584,"pilot"
"325","0.9",13,0,0,"DelayedRec",2,-0.390499132783627,0.949903047889732,"pilot"
"326","0.5",14,0,1,"DelayedRec",2,0.746462328124413,0.701455655284388,"pilot"
"328","0.5",16,1,1,"ImmediateRec",2,0.7885926930611,0.937308380851793,"pilot"
"331","0.5",19,1,1,"ImmediateRec",2,0.803714748141018,0.944347518232295,"pilot"
"332","0.9",20,1,0,"DelayedRec",2,-0.442423388457108,0.999917320993776,"pilot"
"333","0.5",21,1,0,"ImmediateRec",2,-0.267815679538517,0.837743350647782,"pilot"
"334","0.9",22,0,0,"DelayedRec",2,-0.332479256454655,0.999992446756337,"pilot"
"335","0.1",23,1,1,"ImmediateRec",2,0.663367978492767,0.279940144953929,"pilot"
"336","0.9",24,1,0,"ImmediateRec",2,-0.410776654265342,0.44911526479197,"pilot"
"338","0.5",26,1,0,"ImmediateRec",2,-0.248658709441842,0.376274436750389,"pilot"
"339","0.1",27,1,0,"DelayedRec",2,-0.044487825945673,0.798282168095835,"pilot"
"345","0.9",33,1,1,"ImmediateRec",2,0.958694407270754,0.999087580751476,"pilot"
"349","0.5",37,1,0,"ImmediateRec",2,-0.169208829362389,0.883192620172733,"pilot"
"351","0.5",39,1,0,"DelayedRec",2,-0.20292965876403,0.97655884981996,"pilot"
"352","0.5",40,0,0,"DelayedRec",2,-0.145867443748448,0.83235674405051,"pilot"
"354","0.9",42,1,0,"DelayedRec",2,-0.109881413695302,0.995292598607483,"pilot"
"357","0.5",45,1,1,"DelayedRec",2,0.746224688474141,0.424155954499339,"pilot"
"358","0.1",46,1,0,"ImmediateRec",2,-0.0330606878874597,0.0121041207265264,"pilot"
"363","0.5",51,1,1,"DelayedRec",2,0.825063321481536,0.373855029467935,"pilot"
"366","0.9",54,0,0,"ImmediateRec",2,-0.340692270295868,0.888446631167725,"pilot"
"367","0.1",55,0,0,"ImmediateRec",2,-0.0426738165706021,0.00294382847893704,"pilot"
"368","0.5",56,1,1,"ImmediateRec",2,0.828429722523486,0.945333272462641,"pilot"
"369","0.5",57,1,1,"DelayedRec",2,0.830791170637611,0.836683426660325,"pilot"
"370","0.1",58,1,0,"ImmediateRec",2,-0.0245687232486201,0.000492615583462364,"pilot"
"372","0.1",60,1,1,"DelayedRec",2,0.539833032641233,0.000221259471720581,"pilot"
"373","0.1",61,0,0,"DelayedRec",2,-0.0285001559840644,0.62338723202399,"pilot"
"374","0.5",62,1,0,"ImmediateRec",2,-0.230828209831057,0.9491331073067,"pilot"
"375","0.9",63,1,0,"DelayedRec",2,-0.0367872088093738,0.999999997494921,"pilot"
"378","0.5",66,1,1,"DelayedRec",2,0.891600051740041,0.426305413318795,"pilot"
"379","0.9",67,1,0,"DelayedRec",2,-0.567921672968611,0.999983321670113,"pilot"
"380","0.5",68,1,1,"DelayedRec",2,0.812745117385415,0.924604163748903,"pilot"
"382","0.1",70,0,1,"DelayedRec",2,0.638347655866699,0.247534330038154,"pilot"
"383","0.1",71,0,1,"ImmediateRec",2,0.592686375034326,0.11118063848489,"pilot"
"384","0.5",72,1,0,"ImmediateRec",2,-0.285182291273298,0.987789049902575,"pilot"
"386","0.5",74,0,0,"DelayedRec",2,-0.306932441452987,0.737446908478047,"pilot"
"387","0.9",75,1,0,"ImmediateRec",2,-0.52729799281269,0.999998486255933,"pilot"
"388","0.5",76,1,0,"DelayedRec",2,-0.184753174972412,0.636849549480174,"pilot"
"389","0.9",77,0,1,"ImmediateRec",2,0.924183694673185,0.98992319002865,"pilot"
"390","0.5",78,1,1,"DelayedRec",2,0.715022567352869,0.692357775608411,"pilot"
"391","0.9",79,1,0,"ImmediateRec",2,-0.0245687232486201,0.44462637688041,"pilot"
"392","0.1",80,0,1,"DelayedRec",2,0.510928695603917,0.0224293461565362,"pilot"
"395","0.9",83,1,0,"ImmediateRec",2,-0.0217797671959959,0.752585173019185,"pilot"
"397","0.9",85,1,0,"DelayedRec",2,-0.0125977118176592,0.977581204937459,"pilot"
"398","0.5",86,1,1,"ImmediateRec",2,0.663876697309599,0.310974156757393,"pilot"
"399","0.1",87,1,1,"DelayedRec",2,0.764928131896233,0.383912068436321,"pilot"
"400","0.9",88,0,0,"ImmediateRec",2,-0.289787504522412,0.989014787689607,"pilot"
"401","0.9",89,0,0,"ImmediateRec",2,-0.525618252506378,0.989930681301159,"pilot"
"403","0.5",91,0,1,"DelayedRec",2,0.73521691998811,0.836695338765538,"pilot"
"404","0.5",92,0,0,"ImmediateRec",2,-0.171537701351484,0.73737528233325,"pilot"
"407","0.1",95,1,1,"DelayedRec",2,0.76805624595437,0.126751345512282,"pilot"
"409","0.1",97,1,1,"ImmediateRec",2,0.662107300632954,0.025570547561553,"pilot"
"410","0.1",98,0,1,"ImmediateRec",2,0.546887764843353,0.249446868261788,"pilot"
"411","0.9",99,1,0,"DelayedRec",2,-0.492231350868597,0.999999558183792,"pilot"
"412","0.5",100,0,0,"ImmediateRec",2,-0.383610686775434,0.865082961821365,"pilot"
"413","0.9",101,1,0,"ImmediateRec",2,-0.0125977118176592,0.998674438443629,"pilot"
"414","0.9",102,0,0,"DelayedRec",2,-0.357696168861285,0.99543683113338,"pilot"
"415","0.1",103,0,0,"ImmediateRec",2,-0.0174323629792273,0.694462399443993,"pilot"
"418","0.5",106,1,0,"ImmediateRec",2,-0.31737346073587,0.874074887173039,"pilot"
"422","0.5",110,0,0,"ImmediateRec",2,-0.294671601355299,0.392592833586062,"pilot"
"431","0.9",119,1,0,"DelayedRec",2,-0.467708296427132,0.997951958783043,"pilot"
"432","0.9",120,1,0,"DelayedRec",2,-0.434252921954432,0.989930677694255,"pilot"
"433","0.1",121,1,1,"ImmediateRec",2,0.460832726712176,0.0146343308825542,"pilot"
"436","0.9",124,0,0,"DelayedRec",2,-0.403190624725944,0.444629739983389,"pilot"
"437","0.5",125,1,0,"DelayedRec",2,-0.169908342343323,0.874075966541429,"pilot"
"445","0.5",133,1,0,"DelayedRec",2,-0.356170850287947,0.997863718931497,"pilot"
"448","0.9",136,1,0,"ImmediateRec",2,-0.3660409509914,0.989913866160261,"pilot"
"449","0.1",137,0,1,"ImmediateRec",2,0.55547091559499,0.00115026666929885,"pilot"
"452","0.1",140,1,0,"DelayedRec",2,-0.00599747471931058,0.000516645035461671,"pilot"
"453","0.5",141,1,0,"DelayedRec",2,-0.254023347344978,0.977358297533421,"pilot"
"458","0.5",146,1,0,"ImmediateRec",2,-0.235852948668805,0.438982825257093,"pilot"
"459","0.1",147,1,1,"DelayedRec",2,0.219391637806237,4.89001418702006e-06,"pilot"
"460","0.5",148,0,1,"ImmediateRec",2,0.87719679266032,0.197170189639803,"pilot"
"461","0.5",149,0,0,"ImmediateRec",2,-0.18554946907779,0.966478300269044,"pilot"
"464","0.1",152,1,1,"ImmediateRec",2,0.203698460124644,2.19636160947445e-06,"pilot"
"465","0.5",153,1,0,"ImmediateRec",2,-0.211540625587106,0.989481847654358,"pilot"
"468","0.9",156,1,0,"DelayedRec",2,-0.449622677393236,0.999955376256525,"pilot"
"469","0.5",157,1,1,"ImmediateRec",2,0.874254131856572,0.725367601320811,"pilot"
"474","0.5",162,0,0,"DelayedRec",2,-0.188281640095729,0.752154509587711,"pilot"
"478","0.9",166,1,0,"ImmediateRec",2,-0.47207689941906,0.999992371998076,"pilot"
"481","0.5",169,0,0,"DelayedRec",2,-0.172277036198945,0.43409604837091,"pilot"
"482","0.5",170,0,1,"ImmediateRec",2,0.891151923996198,0.194975282071809,"pilot"
"484","0.1",172,0,1,"ImmediateRec",2,0.622153175893718,0.115650340631741,"pilot"
"486","0.5",174,0,0,"ImmediateRec",2,-0.147875061230034,0.855967729251205,"pilot"
"487","0.9",175,1,0,"ImmediateRec",2,-0.463669279377644,0.999087575239523,"pilot"
"489","0.5",177,1,0,"ImmediateRec",2,-0.148512409084042,0.995012970763508,"pilot"
"490","0.5",178,0,0,"DelayedRec",2,-0.11879884173151,0.75046356865702,"pilot"
"491","0.5",179,1,0,"ImmediateRec",2,-0.28507648814451,0.337832003352267,"pilot"
"493","0.1",181,1,1,"DelayedRec",2,0.140548470647065,4.01487906254161e-08,"pilot"
"494","0.9",182,1,0,"DelayedRec",2,-0.869505021568024,0.999999987546073,"pilot"
"495","0.5",183,1,0,"DelayedRec",2,-0.169315536612586,0.337072513174539,"pilot"
"496","0.5",184,0,1,"DelayedRec",2,0.848905949358574,0.4469124641143,"pilot"
"498","0.1",186,1,1,"DelayedRec",2,0.250438199351086,0.247414525239222,"pilot"
"501","0.9",189,1,0,"ImmediateRec",2,-0.784108311049949,0.999999999772945,"pilot"
"503","0.9",191,1,0,"DelayedRec",2,-0.563901320713272,0.999946052170022,"pilot"
"505","0.5",193,0,0,"ImmediateRec",2,-0.264684845026153,0.151738055192365,"pilot"
"506","0.1",194,1,1,"DelayedRec",2,0.513885625893336,0.247610982615822,"pilot"
"508","0.1",196,1,0,"DelayedRec",2,-0.00342186174722566,0.111215067174136,"pilot"
"512","0.5",200,0,0,"DelayedRec",2,-0.128025975710864,0.815929036840982,"pilot"
"514","0.1",202,0,1,"ImmediateRec",2,0.234461311474761,0.115649484957794,"pilot"
"515","0.1",203,0,1,"ImmediateRec",2,0.217690193590667,0.0519442437583277,"pilot"
"516","0.9",204,1,0,"ImmediateRec",2,-0.522275957919387,0.999983184609863,"pilot"
"517","0.5",205,1,1,"ImmediateRec",2,0.80333467975309,0.641006772193197,"pilot"
"518","0.5",206,1,0,"DelayedRec",2,-0.157204323865898,0.875822258126117,"pilot"
"520","0.5",208,1,0,"ImmediateRec",2,-0.12280320733968,0.99293641787227,"pilot"
"524","0.5",212,0,1,"DelayedRec",2,0.890108110663011,0.618847893497967,"pilot"
"525","0.9",213,1,0,"ImmediateRec",2,-0.740808489929964,0.989930681319862,"pilot"
"526","0.1",214,0,1,"DelayedRec",2,0.478238581419781,0.251940771499461,"pilot"
"528","0.1",216,1,1,"DelayedRec",2,0.444029971157969,0.113159802243868,"pilot"
"529","0.1",217,1,1,"DelayedRec",2,0.405152910127926,0.0020700071758778,"pilot"
"530","0.9",218,0,0,"DelayedRec",2,-0.587731682581492,0.950086434905661,"pilot"
"532","0.9",220,1,0,"ImmediateRec",2,-0.623827850809133,0.99908692963929,"pilot"
"535","0.5",223,1,1,"ImmediateRec",2,0.745871806540549,0.287909730317378,"pilot"
"541","0.5",229,1,0,"DelayedRec",2,-0.114019041398254,0.972561317034531,"pilot"
"542","0.5",230,0,0,"ImmediateRec",2,-0.307480722775404,0.99849034350813,"pilot"
"545","0.5",233,1,0,"DelayedRec",2,-0.129911127213152,0.75116048632448,"pilot"
"546","0.5",234,1,0,"ImmediateRec",2,-0.120618528723265,0.337385535417666,"pilot"
"547","0.5",235,1,0,"ImmediateRec",2,-0.182628038273425,0.886386925821388,"pilot"
"554","0.1",242,0,1,"ImmediateRec",2,0.42528875920961,0.0519814058823456,"pilot"
"555","0.5",243,1,0,"ImmediateRec",2,-0.173561703173738,0.994508859080515,"pilot"
"557","0.9",245,0,0,"ImmediateRec",2,-0.656501604487103,0.999999863064852,"pilot"
"558","0.9",246,1,0,"DelayedRec",2,-0.77351366903666,0.999586832509479,"pilot"
"559","0.5",247,1,0,"DelayedRec",2,-0.285486495172066,0.448474334429166,"pilot"
"561","0.5",249,1,0,"DelayedRec",2,-0.0847321230194137,0.61891104194127,"pilot"
"562","0.1",250,0,0,"DelayedRec",2,-0.00129785121698826,0.555373687025449,"pilot"
"563","0.1",251,1,1,"DelayedRec",2,0.434059019117745,0.249447424572096,"pilot"
"564","0.5",252,1,1,"ImmediateRec",2,0.92132880197836,0.992349202236751,"pilot"
"567","0.5",255,1,0,"DelayedRec",2,NA,0.201433323766587,"pilot"
