"","X","participant","scn_file","scn_cat","obj_cat_top","min_resp_top","max_resp_top","slider.response","slider.rt","iteration_index","corr_rat","group"
"129",583,11,"stim/31.jpeg",3,"Music items",65,75,80,5.916999817,2,70,1
"130",578,11,"stim/41.jpeg",4,"Music items",65,75,40,6.096999884,2,70,1
"131",580,11,"stim/51.jpeg",5,"Household items",5,15,100,4.555000067,2,10,1
"132",581,11,"stim/61.jpeg",6,"Music items",5,15,50,3.404000044,2,10,1
"133",241,12,"stim/11.jpeg",1,"Household items",45,55,11,14.7349999,1,50,1
"134",245,12,"stim/21.jpeg",2,"Music items",45,55,16,18.89999986,1,50,1
"135",242,12,"stim/31.jpeg",3,"Household items",65,75,8,12.59100008,1,70,1
"136",244,12,"stim/41.jpeg",4,"Household items",65,75,82,5.833000183,1,70,1
"137",246,12,"stim/51.jpeg",5,"Music items",5,15,75,5.881000042,1,10,1
"138",243,12,"stim/61.jpeg",6,"Household items",5,15,64,64.4460001,1,10,1
"139",579,12,"stim/11.jpeg",1,"Household items",45,55,14,14.00100017,2,50,1
"140",583,12,"stim/21.jpeg",2,"Music items",45,55,33,16.99000001,2,50,1
"141",580,12,"stim/31.jpeg",3,"Household items",65,75,16,9.599000216,2,70,1
"142",582,12,"stim/41.jpeg",4,"Household items",65,75,79,12.14400005,2,70,1
"143",578,12,"stim/51.jpeg",5,"Music items",5,15,68,12.24900007,2,10,1
"144",581,12,"stim/61.jpeg",6,"Household items",5,15,42,9.953999996,2,10,1
"145",244,13,"stim/11.jpeg",1,"Music items",45,55,50,3.910000086,1,50,1
"146",245,13,"stim/21.jpeg",2,"Household items",45,55,40,9.684000015,1,50,1
"147",246,13,"stim/31.jpeg",3,"Music items",65,75,20,8.623000145,1,70,1
"148",243,13,"stim/41.jpeg",4,"Music items",65,75,70,6.947000027,1,70,1
"149",242,13,"stim/51.jpeg",5,"Household items",5,15,93,13.93499994,1,10,1
"150",241,13,"stim/61.jpeg",6,"Music items",5,15,90,5.246000051,1,10,1
"151",583,13,"stim/11.jpeg",1,"Music items",45,55,60,4.164999962,2,50,1
"152",580,13,"stim/21.jpeg",2,"Household items",45,55,71,7.612999916,2,50,1
"153",581,13,"stim/31.jpeg",3,"Music items",65,75,30,7.01699996,2,70,1
"154",578,13,"stim/41.jpeg",4,"Music items",65,75,50,5.75999999,2,70,1
"155",582,13,"stim/51.jpeg",5,"Household items",5,15,80,5.299999952,2,10,1
"156",579,13,"stim/61.jpeg",6,"Music items",5,15,80,3.802999973,2,10,1
"157",244,14,"stim/11.jpeg",1,"Household items",45,55,90,2.501999855,1,50,1
"158",242,14,"stim/21.jpeg",2,"Music items",45,55,4,5.414000034,1,50,1
"159",241,14,"stim/31.jpeg",3,"Household items",65,75,40,7.713999987,1,70,1
"160",245,14,"stim/41.jpeg",4,"Household items",65,75,10,6.20299983,1,70,1
"161",243,14,"stim/51.jpeg",5,"Music items",5,15,80,4.296999931,1,10,1
"162",246,14,"stim/61.jpeg",6,"Household items",5,15,60,7.260999918,1,10,1
"163",578,14,"stim/11.jpeg",1,"Household items",45,55,16,5.326999903,2,50,1
"164",581,14,"stim/21.jpeg",2,"Music items",45,55,4,7.390999794,2,50,1
"165",583,14,"stim/31.jpeg",3,"Household items",65,75,20,6.178000212,2,70,1
"166",579,14,"stim/41.jpeg",4,"Household items",65,75,30,3.297999859,2,70,1
"167",582,14,"stim/51.jpeg",5,"Music items",5,15,89,4.166000128,2,10,1
"168",580,14,"stim/61.jpeg",6,"Household items",5,15,43,3.631999969,2,10,1
"169",245,15,"stim/11.jpeg",1,"Household items",45,55,40,10.37299991,1,50,1
"170",242,15,"stim/21.jpeg",2,"Music items",45,55,32,6.517999887,1,50,1
"171",244,15,"stim/31.jpeg",3,"Household items",65,75,20,5.302999973,1,70,1
"172",241,15,"stim/41.jpeg",4,"Household items",65,75,78,8.521999836,1,70,1
"173",246,15,"stim/51.jpeg",5,"Music items",5,15,88,4.312999964,1,10,1
"174",243,15,"stim/61.jpeg",6,"Household items",5,15,87,5.101000071,1,10,1
"175",580,15,"stim/11.jpeg",1,"Household items",45,55,50,7.869000196,2,50,1
"176",579,15,"stim/21.jpeg",2,"Music items",45,55,38,8.286999941,2,50,1
"177",581,15,"stim/31.jpeg",3,"Household items",65,75,19,4.236999989,2,70,1
"178",582,15,"stim/41.jpeg",4,"Household items",65,75,80,3.239000082,2,70,1
"179",583,15,"stim/51.jpeg",5,"Music items",5,15,90,3.52699995,2,10,1
"180",578,15,"stim/61.jpeg",6,"Household items",5,15,80,5.139000177,2,10,1
"181",244,16,"stim/11.jpeg",1,"Music items",45,55,15,5.398000002,1,50,1
"182",243,16,"stim/21.jpeg",2,"Household items",45,55,20,5.738999844,1,50,1
"183",241,16,"stim/31.jpeg",3,"Music items",65,75,65,9.638000011,1,70,1
"184",242,16,"stim/41.jpeg",4,"Music items",65,75,56,6.698999882,1,70,1
"185",245,16,"stim/51.jpeg",5,"Household items",5,15,45,8.464999914,1,10,1
