"","X","participant","iteration_index","scn_file","scn_cat","obj_cat_top","min_resp_top","max_resp_top","slider.response","slider.rt","rating_acc","corr_rat","group"
"111",747,5,3,"stim/31.jpeg",3,"Household items",65,75,15,7.663000107,1,70,1
"112",746,5,3,"stim/41.jpeg",4,"Household items",65,75,75,8.818000078,1,70,1
"113",745,5,3,"stim/51.jpeg",5,"Music items",5,15,93,7.50999999,0,10,1
"114",748,5,3,"stim/61.jpeg",6,"Household items",5,15,93,10.04899979,1,10,1
"115",996,5,4,"stim/11.jpeg",1,"Household items",45,55,41,12.41299987,1,50,1
"116",994,5,4,"stim/21.jpeg",2,"Music items",45,55,43,8.008000135,0,50,1
"117",997,5,4,"stim/31.jpeg",3,"Household items",65,75,10,5.710000038,1,70,1
"118",995,5,4,"stim/41.jpeg",4,"Household items",65,75,73,15.75700021,1,70,1
"119",993,5,4,"stim/51.jpeg",5,"Music items",5,15,90,3.50999999,0,10,1
"120",992,5,4,"stim/61.jpeg",6,"Household items",5,15,90,6.662999868,0,10,1
"121",254,6,1,"stim/11.jpeg",1,"Music items",45,55,12,156.5550001,0,50,1
"122",253,6,1,"stim/21.jpeg",2,"Household items",45,55,2,9.739000082,0,50,1
"123",255,6,1,"stim/31.jpeg",3,"Music items",65,75,34,4.868999958,0,70,1
"124",252,6,1,"stim/41.jpeg",4,"Music items",65,75,33,21.41799998,0,70,1
"125",256,6,1,"stim/51.jpeg",5,"Household items",5,15,77,4.592000008,0,10,1
"126",251,6,1,"stim/61.jpeg",6,"Music items",5,15,74,155.0839999,0,10,1
"127",498,6,2,"stim/11.jpeg",1,"Music items",45,55,77,3.306999922,0,50,1
"128",503,6,2,"stim/21.jpeg",2,"Household items",45,55,5,9.027000189,1,50,1
"129",502,6,2,"stim/31.jpeg",3,"Music items",65,75,50,3.661000013,1,70,1
"130",500,6,2,"stim/41.jpeg",4,"Music items",65,75,50,3.944999933,0,70,1
"131",499,6,2,"stim/51.jpeg",5,"Household items",5,15,70,4.142999887,0,10,1
"132",501,6,2,"stim/61.jpeg",6,"Music items",5,15,10,187.155,1,10,1
"133",750,6,3,"stim/11.jpeg",1,"Music items",45,55,5,3.548000097,0,50,1
"134",746,6,3,"stim/21.jpeg",2,"Household items",45,55,10,3.860999823,0,50,1
