"","obj_file","X.x","participant.x","trialN.x","trial_cond","scn_file.x","scn_cat","scn_inst","scn_condition","fillers","obj_cat","obj_cat_num","quadrant","corr_ans","key_resp_trial.keys","key_resp_trial.rt","trial_acc","trial_acc_manual","group.x","practice","X.y","participant.y","OvsN","PE_level","object_cat","scn_file.y","corr_scn_cat","corr_scn_inst","scn_file.1","corr_loc","key_resp_id.keys","key_resp_id.rt","key_resp_conf.keys","key_resp_assoc.keys","key_resp_assoc.rt","key_resp_loc.keys","key_resp_loc.rt","trialN.y","id_acc","assoc.acc","cond_assoc","loc.acc","cond_loc","group.y"
"480","stim/objects/Instruments/flutetrans.png",502,67,495,0.9,"stim/33.jpeg",3,3,3,2,"Instruments",2,2,"right","right",0.575999975,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"515","stim/objects/Instruments/gong.png",503,67,496,0.9,"stim/32.jpeg",3,2,3,2,"Instruments",2,3,"right","right",0.551000118,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"482","stim/objects/Instruments/flutetrans.png",504,67,497,0.9,"stim/31.jpeg",3,1,3,2,"Instruments",2,3,"right","right",0.585999966,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"453","stim/objects/Instruments/electricguitar.png",505,67,498,0.7,"stim/14.jpeg",1,4,2,2,"Instruments",2,4,"right","left",0.674000025,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"337","stim/objects/HouseObjects/flyswatter.png",506,67,499,0.9,"stim/43.jpeg",4,3,3,2,"HouseObjects",1,4,"left","right",0.768999815,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266","stim/objects/HouseObjects/bucket.png",507,67,500,0.5,"stim/62.jpeg",6,2,1,2,"HouseObjects",1,4,"left","left",0.731999874,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"345","stim/objects/HouseObjects/garbagebin.png",508,67,501,0.9,"stim/43.jpeg",4,3,3,2,"HouseObjects",1,3,"left","left",0.514000177,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274","stim/objects/HouseObjects/clothesdryingrack2.png",509,67,502,0.7,"stim/21.jpeg",2,1,2,1,"HouseObjects",1,3,"left","left",0.457000017,1,1,1,0,87,67,1,0.7,1,"stim/21.jpeg",2,1,"stim/21.jpeg",3,"left",1.105000019,4,3,6.28399992,4,2.049999952,87,1,0,0,0,0,0
"505","stim/objects/Instruments/frenchhorn.png",510,67,503,0.9,"stim/33.jpeg",3,3,3,2,"Instruments",2,1,"right","right",0.446000099,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"500","stim/objects/Instruments/frenchhorn.png",511,67,504,0.9,"stim/31.jpeg",3,1,3,2,"Instruments",2,1,"right","right",0.524000168,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"306","stim/objects/HouseObjects/doormat.png",512,67,505,0.9,"stim/44.jpeg",4,4,3,2,"HouseObjects",1,2,"left","left",0.849999905,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"488","stim/objects/Instruments/flutetrans.png",513,67,506,0.9,"stim/32.jpeg",3,2,3,2,"Instruments",2,4,"right","right",0.582000017,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"464","stim/objects/Instruments/flute.png",514,67,507,0.9,"stim/34.jpeg",3,4,3,2,"Instruments",2,1,"right","right",0.455000162,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"320","stim/objects/HouseObjects/dustpan.png",515,67,508,0.9,"stim/43.jpeg",4,3,3,2,"HouseObjects",1,2,"left","left",0.53399992,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"569","stim/objects/Instruments/xylophone.png",516,67,509,0.7,"stim/12.jpeg",1,2,2,1,"Instruments",2,3,"right","right",0.546999931,1,1,1,0,93,67,1,0.7,2,"stim/12.jpeg",1,2,"stim/12.jpeg",3,"right",1.10199976,4,1,1.843999863,2,3.927000046,93,0,0,NA,0,NA,0
"354","stim/objects/HouseObjects/garbagebin.png",517,67,510,0.9,"stim/42.jpeg",4,2,3,2,"HouseObjects",1,2,"left","left",0.489000082,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"375","stim/objects/HouseObjects/glass2.png",518,67,511,0.1,"stim/31.jpeg",3,1,3,1,"HouseObjects",1,1,"left","right",0.501000166,0,0,1,0,198,67,1,0.1,1,"stim/31.jpeg",3,1,"stim/31.jpeg",1,"right",0.857999802,1,1,0.914000034,3,2.281999826,198,0,1,NA,0,NA,0
"398","stim/objects/HouseObjects/thread.png",519,67,512,0.3,"stim/12.jpeg",1,2,2,1,"HouseObjects",1,3,"left","left",0.684000015,1,1,1,0,145,67,1,0.3,1,"stim/12.jpeg",1,2,"stim/12.jpeg",3,"right",0.859999895,4,4,1.359999895,2,1.017999887,145,0,0,NA,0,NA,0
"521","stim/objects/Instruments/gong.png",520,67,513,0.9,"stim/33.jpeg",3,3,3,2,"Instruments",2,2,"right","",NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"419","stim/objects/Instruments/bassdrum.png",521,67,514,0.5,"stim/51.jpeg",5,1,1,2,"Instruments",2,3,"right","left",0.590999842,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300","stim/objects/HouseObjects/doormat.png",522,67,515,0.9,"stim/44.jpeg",4,4,3,2,"HouseObjects",1,2,"left","",NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"361","stim/objects/HouseObjects/glass.png",523,67,516,0.9,"stim/43.jpeg",4,3,3,2,"HouseObjects",1,2,"left","left",0.483999968,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"516","stim/objects/Instruments/gong.png",524,67,517,0.9,"stim/31.jpeg",3,1,3,2,"Instruments",2,3,"right","right",0.480000019,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"416","stim/objects/Instruments/banjo.png",525,67,518,0.5,"stim/53.jpeg",5,3,1,2,"Instruments",2,4,"right","left",0.792000055,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"536","stim/objects/Instruments/grandpiano.png",526,67,519,0.9,"stim/31.jpeg",3,1,3,2,"Instruments",2,3,"right","right",0.617000103,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"471","stim/objects/Instruments/flute.png",527,67,520,0.9,"stim/33.jpeg",3,3,3,2,"Instruments",2,2,"right","right",0.487999916,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"369","stim/objects/HouseObjects/glass.png",528,67,521,0.9,"stim/44.jpeg",4,4,3,2,"HouseObjects",1,3,"left","left",0.549000025,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"498","stim/objects/Instruments/frenchhorn.png",529,67,522,0.9,"stim/31.jpeg",3,1,3,2,"Instruments",2,1,"right","right",0.697000027,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"414","stim/objects/Instruments/balalaika2.png",530,67,523,0.7,"stim/11.jpeg",1,1,2,1,"Instruments",2,4,"right","",NA,0,0,1,0,120,67,1,0.7,2,"stim/11.jpeg",1,1,"stim/11.jpeg",4,"left",1.912999868,4,2,4.726999998,2,5.737999916,120,1,0,0,0,0,0
"531","stim/objects/Instruments/grandpiano.png",531,67,524,0.9,"stim/32.jpeg",3,2,3,2,"Instruments",2,2,"right","right",0.489000082,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"429","stim/objects/Instruments/chime2.png",532,67,525,0.3,"stim/24.jpeg",2,4,2,1,"Instruments",2,1,"right","left",0.584000111,0,0,1,0,175,67,1,0.3,2,"stim/24.jpeg",2,4,"stim/24.jpeg",1,"right",0.572000027,1,2,4.639999866,1,3.260999918,175,0,0,NA,1,NA,0
"422","stim/objects/Instruments/bassguitar.png",533,67,526,0.5,"stim/63.jpeg",6,3,1,2,"Instruments",2,4,"right","right",0.726999998,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"526","stim/objects/Instruments/grandpiano.png",534,67,527,0.9,"stim/31.jpeg",3,1,3,2,"Instruments",2,4,"right","right",0.772000074,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"517","stim/objects/Instruments/gong.png",535,67,528,0.9,"stim/32.jpeg",3,2,3,2,"Instruments",2,4,"right","right",0.585000038,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"552","stim/objects/Instruments/speaker2.png",536,67,529,0.1,"stim/43.jpeg",4,3,3,1,"Instruments",2,1,"right","left",0.546000004,0,0,1,0,189,67,1,0.1,2,"stim/43.jpeg",4,3,"stim/43.jpeg",1,"right",0.652999878,4,1,1.635999918,2,1.115999937,189,0,0,NA,0,NA,0
"518","stim/objects/Instruments/gong.png",537,67,530,0.9,"stim/32.jpeg",3,2,3,2,"Instruments",2,4,"right","right",0.463999987,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"336","stim/objects/HouseObjects/flyswatter.png",538,67,531,0.9,"stim/41.jpeg",4,1,3,2,"HouseObjects",1,1,"left","left",0.443000078,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"506","stim/objects/Instruments/frenchhorn2.png",539,67,532,0.9,"stim/31.jpeg",3,1,3,1,"Instruments",2,1,"right","right",0.468999863,1,1,1,0,188,67,1,0.9,2,"stim/31.jpeg",3,1,"stim/31.jpeg",1,"right",0.599999905,4,2,1.729000092,1,1.973999977,188,0,0,NA,1,NA,0
"248","stim/objects/HouseObjects/barbecuelighter.png",540,67,533,0.5,"stim/54.jpeg",5,4,1,2,"HouseObjects",1,2,"left","left",0.436000109,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"353","stim/objects/HouseObjects/garbagebin.png",541,67,534,0.9,"stim/43.jpeg",4,3,3,2,"HouseObjects",1,2,"left","left",0.55099988,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"467","stim/objects/Instruments/flute.png",542,67,535,0.9,"stim/34.jpeg",3,4,3,2,"Instruments",2,2,"right","right",0.475000143,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"431","stim/objects/Instruments/clarinet.png",543,67,536,0.5,"stim/62.jpeg",6,2,1,2,"Instruments",2,2,"right","left",0.534000158,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"541","stim/objects/Instruments/guitarcase.png",544,67,537,0.5,"stim/52.jpeg",5,2,1,1,"Instruments",2,3,"right","left",0.628000021,0,0,1,0,157,67,1,0.5,1,"stim/52.jpeg",5,2,"stim/52.jpeg",3,"right",1.150999784,4,3,2.713000059,4,0.632999897,157,0,0,NA,0,NA,0
