"scene_cat","object_cat","response","acc","pe_level","trialN","Q1","befQ1","P1","variance1","Q2","befQ2","P2","variance2","Q3","befQ3","P3","variance3","Prob","Delta","x1","x2","x3","Delta1","Delta2","Delta3","SubNum"
5,2,2,1,1,43,0.223874338061132,0.232659078854537,0.157979278780663,0.0174858223062382,0.541139385961723,0.523133876310463,0.679821579147218,0.0174858223062382,0.22892315776088,0.237906012249491,0.162199142072119,0.0174858223062382,0.679821579147218,NA,0,1,0,-0.232659078854537,0.476866123689537,-0.237906012249491,30
4,1,1,1,1,44,0.460049433304437,0.438861985869628,0.530098974777754,0.0174858223062382,0.264532913319581,0.274913080581995,0.232612159040749,0.0174858223062382,0.268345384000248,0.278875151109623,0.237288866181497,0.0174858223062382,0.530098974777754,NA,1,0,0,0.561138014130372,-0.274913080581995,-0.278875151109623,30
4,1,1,1,1,45,0.480436885163294,0.460049433304437,0.569428322769622,0.0174858223062382,0.254544680381163,0.264532913319581,0.213224095189831,0.0174858223062382,0.258213199805438,0.268345384000248,0.217347582040547,0.0174858223062382,0.569428322769622,NA,1,0,0,0.539950566695563,-0.264532913319581,-0.268345384000248,30
4,1,1,1,1,46,0.500054547676728,0.480436885163294,0.60646899897153,0.0174858223062382,0.244933583111725,0.254544680381163,0.194952268392687,0.0174858223062382,0.24846358659071,0.258213199805438,0.198578732635783,0.0174858223062382,0.60646899897153,NA,1,0,0,0.519563114836706,-0.254544680381163,-0.258213199805438,30
5,2,3,0,1,47,0.215421291483947,0.223874338061132,0.143907472187971,0.0174858223062382,0.558465043634207,0.541139385961723,0.708488060792625,0.0174858223062382,0.220279477864793,0.22892315776088,0.147604467019404,0.0174858223062382,0.147604467019404,NA,0,1,0,-0.223874338061132,0.458860614038277,-0.22892315776088,30
4,3,1,0,3,48,0.481173489582923,0.500054547676728,0.64099659742239,0.0174858223062382,0.235685381623822,0.244933583111725,0.177910012197592,0.0174858223062382,0.276840096207745,0.24846358659071,0.181093390380018,0.0174858223062382,0.64099659742239,NA,0,0,1,-0.500054547676728,-0.244933583111725,0.75153641340929,30
6,3,3,1,1,49,0.254555705120382,0.264544370665223,0.196856000702516,0.0174858223062382,0.222500108490461,0.231230925057117,0.166517986001478,0.0174858223062382,0.517109999372102,0.498161586061395,0.636626013296006,0.0174858223062382,0.636626013296006,NA,0,0,1,-0.264544370665223,-0.231230925057117,0.501838413938605,30
4,1,3,0,1,50,0.500763339388916,0.481173489582923,0.606228537441853,0.0174858223062382,0.226786373699637,0.235685381623822,0.176603469803532,0.0174858223062382,0.266387168695181,0.276840096207745,0.217167992754615,0.0174858223062382,0.217167992754615,NA,1,0,0,0.518826510417077,-0.235685381623822,-0.276840096207745,30
5,2,2,1,1,51,0.207287415013774,0.215421291483947,0.131084165427369,0.0174858223062382,0.575136519176866,0.558465043634207,0.734592816379224,0.0174858223062382,0.211962166007993,0.220279477864793,0.134323018193406,0.0174858223062382,0.734592816379224,NA,0,1,0,-0.215421291483947,0.441534956365793,-0.220279477864793,30
4,1,1,1,1,52,0.519613515705379,0.500763339388916,0.640817598922159,0.0174858223062382,0.21822337448965,0.226786373699637,0.161784412682518,0.0174858223062382,0.256328922787917,0.266387168695181,0.197397988395323,0.0174858223062382,0.640817598922159,NA,1,0,0,0.499236660611084,-0.226786373699637,-0.266387168695181,30
6,2,1,0,3,53,0.244944191578875,0.254555705120382,0.17885014117276,0.0174858223062382,0.251856947034821,0.222500108490461,0.15224614816011,0.0174858223062382,0.497584961584937,0.517109999372102,0.66890371066713,0.0174858223062382,0.17885014117276,NA,0,1,0,-0.254555705120382,0.777499891509539,-0.517109999372102,30
5,2,3,0,1,54,0.19946065742668,0.207287415013774,0.119452681693718,0.0174858223062382,0.591178513196574,0.575136519176866,0.758255931584008,0.0174858223062382,0.203958899187045,0.211962166007993,0.122291386722274,0.0174858223062382,0.122291386722274,NA,0,1,0,-0.207287415013774,0.424863480823134,-0.211962166007993,30
4,1,1,1,1,55,0.537751947121683,0.519613515705379,0.67277476151483,0.0174858223062382,0.20998369697785,0.21822337448965,0.147998866060323,0.0174858223062382,0.246650456099099,0.256328922787917,0.179226372424847,0.0174858223062382,0.67277476151483,NA,1,0,0,0.480386484294621,-0.21822337448965,-0.256328922787917,30
5,2,2,1,1,56,0.191929422528809,0.19946065742668,0.108940268583765,0.0174858223062382,0.606614793654764,0.591178513196574,0.779629437241717,0.0174858223062382,0.196257819690436,0.203958899187045,0.111430294174518,0.0174858223062382,0.779629437241717,NA,0,1,0,-0.19946065742668,0.408821486803426,-0.203958899187045,30
4,1,1,1,1,57,0.55520550769961,0.537751947121683,0.702083715961241,0.0174858223062382,0.202055133184538,0.20998369697785,0.135276540295713,0.0174858223062382,0.237337428926149,0.246650456099099,0.162639743743045,0.0174858223062382,0.702083715961241,NA,1,0,0,0.462248052878317,-0.20998369697785,-0.246650456099099,30
5,2,2,1,1,58,0.18468255197536,0.191929422528809,0.0994649706680209,0.0174858223062382,0.621468231082253,0.606614793654764,0.798883385580024,0.0174858223062382,0.188847517530092,0.196257819690436,0.101651643751955,0.0174858223062382,0.798883385580024,NA,0,1,0,-0.191929422528809,0.393385206345236,-0.196257819690436,30
3,2,1,0,2,59,0.319244208709461,0.331771225640463,0.335693663469076,0.0666666666666667,0.354310331396278,0.328973723275902,0.331008539105924,0.0666666666666667,0.317872372679754,0.330345559305609,0.333297797425,0.0666666666666667,0.335693663469076,NA,0,1,0,-0.331771225640463,0.671026276724098,-0.330345559305609,30
6,3,3,1,1,60,0.235695589536502,0.244944191578875,0.178774148495995,0.0174858223062382,0.242347333192919,0.251856947034821,0.185092084438834,0.0174858223062382,0.516555147080877,0.497584961584937,0.636133767065171,0.0174858223062382,0.636133767065171,NA,0,0,1,-0.244944191578875,-0.251856947034821,0.502415038415063,30
1,1,1,1,2,61,0.320669875044315,0.294013228674877,0.274629768621746,0.0666666666666667,0.317872372679754,0.330345559305609,0.329626490169521,0.0666666666666667,0.352884665061425,0.366731720241487,0.395743741208733,0.0666666666666667,0.274629768621746,NA,1,0,0,0.705986771325123,-0.330345559305609,-0.366731720241487,30
