id_acc,key_resp_id.keys,key_resp_id.rt,key_resp_conf.keys,key_resp_conf.rt,assoc_acc,key_resp_assoc.keys,key_resp_assoc.rt,loc_acc,key_resp_loc.keys,key_resp_loc.rt,task_innerloop.thisRepN,task_innerloop.thisTrialN,task_innerloop.thisN,task_innerloop.thisIndex,task_innerloop.ran,task_innerloop.order,context_type,object_cat,PE_level,OvsN,obj_file,scn_file,corr_scn_cat,assoc_file,corr_scn_inst,corr_loc,participant,date,expName,psychopyVersion,OS,frameRate
1,left,1.065999746,4,0.651000023,0,1,2.683999777,0,4,4.572999954,1,0,200,45,1,199,2,1,0.7,1,stim/objects/Instruments/cymbal4.png,stim/41.jpeg,4,stim/4.png,1,3,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,left,1.996000051,4,0.489000082,0,1,6.395999908,0,2,1.576999903,1,0,200,9,1,199,1,1,0.5,1,stim/objects/HouseObjects/iron3.png,stim/12.jpeg,1,stim/1.png,2,1,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,left,1.644999743,4,0.591999769,0,4,5.028999805,0,2,1.519999981,1,0,200,97,1,199,3,2,0.1,1,stim/objects/HouseObjects/towel4.png,stim/62.jpeg,6,stim/6.png,2,1,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,left,1.994999886,4,0.497999907,0,2,4.975999832,0,1,3.118000031,1,0,200,31,1,199,2,2,0.7,1,stim/objects/HouseObjects/pitcher3.png,stim/33.jpeg,3,stim/3.png,3,4,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,left,1.264999866,,,0,,,0,,,1,0,200,109,1,199,0,1,0,2,stim/objects/Instruments/cornet.png,,0,stim/0.png,0,0,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,left,0.711999893,4,0.682999849,0,2,6.944999933,0,2,2.152999878,1,0,200,29,1,199,2,1,0.3,1,stim/objects/Instruments/bassdrum4.png,stim/32.jpeg,3,stim/3.png,2,2,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,right,0.927999973,2,0.984999895,0,4,3.763000011,0,3,0.718999863,1,0,200,93,1,199,3,2,0.1,1,stim/objects/HouseObjects/lintroller4.png,stim/62.jpeg,6,stim/6.png,2,2,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,left,2.042999983,4,1.06799984,0,2,1.970000029,0,2,1.767999887,1,0,200,17,1,199,1,2,0.5,1,stim/objects/HouseObjects/knife3.png,stim/22.jpeg,2,stim/2.png,2,1,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,right,1.348999977,1,1.016000032,0,4,4.061000109,0,1,1.212999821,1,0,200,57,1,199,2,2,0.3,1,stim/objects/HouseObjects/coffee4.png,stim/41.jpeg,4,stim/4.png,1,2,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,right,1.953999996,,,0,,,0,,,1,0,200,148,1,199,0,1,0,2,stim/objects/Instruments/metronome.png,,0,stim/0.png,0,0,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
