key_resp_pract.keys,key_resp_pract.rt,trial_acc,trial_index,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,practice_loop.ran,practice_loop.order,scn_condition,scn_cat,scn_inst,scn_file,obj_cat,obj_cat_num,obj_file,trial_cond,quadrant,obj_x,obj_y,corr_ans,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_trial.keys,key_resp_trial.rt,iterations.thisRepN,iterations.thisTrialN,iterations.thisN,iterations.thisIndex,iterations.ran,iterations.order,task_innerloop.thisRepN,task_innerloop.thisTrialN,task_innerloop.thisN,task_innerloop.thisIndex,task_innerloop.ran,task_innerloop.order
,,1,213,,,,,,,3,4,2,stim/42.jpeg,HouseObjects,1,stim/objects/HouseObjects/remote2.png,0.9,3,-0.2,-0.15,left,22,2020-12-02_18h09.35.347,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60,left,0.900000095,4,0,4,0,1,3,1,0,240,229,1,239
,,1,214,,,,,,,1,6,2,stim/62.jpeg,Instruments,2,stim/objects/Instruments/musicsheet.png,0.5,2,0.2,0.15,right,22,2020-12-02_18h09.35.347,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60,right,0.597999811,4,0,4,0,1,3,1,0,240,65,1,239
,,1,215,,,,,,,2,1,1,stim/11.jpeg,HouseObjects,1,stim/objects/HouseObjects/recyclingbin.png,0.3,1,-0.2,0.15,left,22,2020-12-02_18h09.35.347,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60,left,0.884000063,4,0,4,0,1,3,1,0,240,80,1,239
,,0,216,,,,,,,3,4,4,stim/44.jpeg,HouseObjects,1,stim/objects/HouseObjects/rug2.png,0.9,4,0.2,-0.15,left,22,2020-12-02_18h09.35.347,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60,right,1.061000109,4,0,4,0,1,3,1,0,240,235,1,239
,,0,217,,,,,,,1,6,1,stim/61.jpeg,Instruments,2,stim/objects/Instruments/metronome.png,0.5,2,0.2,0.15,right,22,2020-12-02_18h09.35.347,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60,left,0.495999813,4,0,4,0,1,3,1,0,240,64,1,239
,,1,218,,,,,,,3,3,3,stim/33.jpeg,Instruments,2,stim/objects/Instruments/musicstand2.png,0.9,2,0.2,0.15,right,22,2020-12-02_18h09.35.347,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60,right,0.703999996,4,0,4,0,1,3,1,0,240,166,1,239
,,1,219,,,,,,,1,6,3,stim/63.jpeg,Instruments,2,stim/objects/Instruments/musicstand.png,0.5,1,-0.2,0.15,right,22,2020-12-02_18h09.35.347,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60,right,1.186999798,4,0,4,0,1,3,1,0,240,74,1,239
,,1,220,,,,,,,1,6,3,stim/63.jpeg,HouseObjects,1,stim/objects/HouseObjects/pan.png,0.5,4,0.2,-0.15,left,22,2020-12-02_18h09.35.347,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60,left,1.021999836,4,0,4,0,1,3,1,0,240,50,1,239
,,1,221,,,,,,,1,5,1,stim/51.jpeg,HouseObjects,1,stim/objects/HouseObjects/iron.png,0.5,1,-0.2,0.15,left,22,2020-12-02_18h09.35.347,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60,left,1.117000103,4,0,4,0,1,3,1,0,240,16,1,239
,,0,222,,,,,,,3,3,2,stim/32.jpeg,Instruments,2,stim/objects/Instruments/musicsheet2.png,0.9,3,-0.2,-0.15,right,22,2020-12-02_18h09.35.347,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60,left,0.651000023,4,0,4,0,1,3,1,0,240,169,1,239
,,1,223,,,,,,,3,3,4,stim/34.jpeg,Instruments,2,stim/objects/Instruments/oboe2.png,0.9,3,-0.2,-0.15,right,22,2020-12-02_18h09.35.347,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60,right,0.534999847,4,0,4,0,1,3,1,0,240,191,1,239
,,1,224,,,,,,,1,5,1,stim/51.jpeg,Instruments,2,stim/objects/Instruments/keyboard.png,0.5,1,-0.2,0.15,right,22,2020-12-02_18h09.35.347,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60,right,1.029000044,4,0,4,0,1,3,1,0,240,32,1,239
,,1,225,,,,,,,1,6,1,stim/61.jpeg,HouseObjects,1,stim/objects/HouseObjects/lintroller.png,0.5,2,0.2,0.15,left,22,2020-12-02_18h09.35.347,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60,left,1.552999973,4,0,4,0,1,3,1,0,240,48,1,239
,,1,226,,,,,,,3,3,3,stim/33.jpeg,Instruments,2,stim/objects/Instruments/musicstand2.png,0.9,1,-0.2,0.15,right,22,2020-12-02_18h09.35.347,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60,right,0.424000025,4,0,4,0,1,3,1,0,240,194,1,239
,,1,227,,,,,,,1,5,3,stim/53.jpeg,Instruments,2,stim/objects/Instruments/maraca.png,0.5,2,0.2,0.15,right,22,2020-12-02_18h09.35.347,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60,right,0.634000063,4,0,4,0,1,3,1,0,240,34,1,239
,,0,228,,,,,,,3,3,2,stim/32.jpeg,Instruments,2,stim/objects/Instruments/musicsheet2.png,0.9,4,0.2,-0.15,right,22,2020-12-02_18h09.35.347,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60,left,0.737999916,4,0,4,0,1,3,1,0,240,177,1,239
,,0,229,,,,,,,2,2,2,stim/22.jpeg,HouseObjects,1,stim/objects/HouseObjects/ironingboard2.png,0.7,3,-0.2,-0.15,left,22,2020-12-02_18h09.35.347,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60,right,0.628000021,4,0,4,0,1,3,1,0,240,137,1,239
,,1,230,,,,,,,3,3,2,stim/32.jpeg,Instruments,2,stim/objects/Instruments/musicsheet2.png,0.9,3,-0.2,-0.15,right,22,2020-12-02_18h09.35.347,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60,right,0.553999901,4,0,4,0,1,3,1,0,240,193,1,239
